[0.000000] (-) TimerEvent: {}
[0.000776] (-) JobUnselected: {'identifier': 'isaac_ros_apriltag_interfaces'}
[0.000786] (-) JobUnselected: {'identifier': 'isaac_ros_argus_camera_benchmark'}
[0.000796] (-) JobUnselected: {'identifier': 'isaac_ros_benchmark'}
[0.000806] (-) JobUnselected: {'identifier': 'isaac_ros_bi3d_benchmark'}
[0.000815] (-) JobUnselected: {'identifier': 'isaac_ros_bi3d_freespace_benchmark'}
[0.000824] (-) JobUnselected: {'identifier': 'isaac_ros_bi3d_interfaces'}
[0.000834] (-) JobUnselected: {'identifier': 'isaac_ros_centerpose_benchmark'}
[0.000843] (-) JobUnselected: {'identifier': 'isaac_ros_common'}
[0.000852] (-) JobUnselected: {'identifier': 'isaac_ros_data_recorder_nova_benchmark'}
[0.000862] (-) JobUnselected: {'identifier': 'isaac_ros_depth_image_proc'}
[0.000871] (-) JobUnselected: {'identifier': 'isaac_ros_detectnet_benchmark'}
[0.000881] (-) JobUnselected: {'identifier': 'isaac_ros_dnn_image_encoder'}
[0.000891] (-) JobUnselected: {'identifier': 'isaac_ros_dnn_image_encoder_benchmark'}
[0.000900] (-) JobUnselected: {'identifier': 'isaac_ros_dope_benchmark'}
[0.000910] (-) JobUnselected: {'identifier': 'isaac_ros_ess_benchmark'}
[0.000919] (-) JobUnselected: {'identifier': 'isaac_ros_ess_nova_benchmark'}
[0.000929] (-) JobUnselected: {'identifier': 'isaac_ros_foundationpose_benchmark'}
[0.000938] (-) JobUnselected: {'identifier': 'isaac_ros_franka_cumotion_benchmark'}
[0.000948] (-) JobUnselected: {'identifier': 'isaac_ros_franka_ompl_benchmark'}
[0.000958] (-) JobUnselected: {'identifier': 'isaac_ros_gxf'}
[0.000982] (-) JobUnselected: {'identifier': 'isaac_ros_h264_decoder_benchmark'}
[0.001007] (-) JobUnselected: {'identifier': 'isaac_ros_h264_encoder_benchmark'}
[0.001020] (-) JobUnselected: {'identifier': 'isaac_ros_hawk_nova_benchmark'}
[0.001056] (-) JobUnselected: {'identifier': 'isaac_ros_image_pipeline'}
[0.001066] (-) JobUnselected: {'identifier': 'isaac_ros_image_proc'}
[0.001076] (-) JobUnselected: {'identifier': 'isaac_ros_image_proc_benchmark'}
[0.001085] (-) JobUnselected: {'identifier': 'isaac_ros_launch_utils'}
[0.001094] (-) JobUnselected: {'identifier': 'isaac_ros_managed_nitros'}
[0.001104] (-) JobUnselected: {'identifier': 'isaac_ros_moveit_benchmark'}
[0.001114] (-) JobUnselected: {'identifier': 'isaac_ros_nitros'}
[0.001123] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_battery_state_type'}
[0.001132] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_bridge_benchmark'}
[0.001142] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_bridge_interfaces'}
[0.001152] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_bridge_ros2'}
[0.001162] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_camera_info_type'}
[0.001476] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_compressed_image_type'}
[0.001571] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_compressed_video_type'}
[0.001604] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_correlated_timestamp_type'}
[0.001633] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_detection2_d_array_type'}
[0.001670] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_detection3_d_array_type'}
[0.001762] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_disparity_image_type'}
[0.001791] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_encoder_ticks_type'}
[0.001816] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_flat_scan_type'}
[0.001841] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_image_type'}
[0.001876] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_imu_type'}
[0.001928] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_occupancy_grid_type'}
[0.001975] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_odometry_type'}
[0.001993] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_point_cloud_type'}
[0.002002] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_pose_array_type'}
[0.002009] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_pose_cov_stamped_type'}
[0.002024] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_std_msg_type'}
[0.002031] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_tensor_list_type'}
[0.002037] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_topic_tools'}
[0.002044] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_twist_type'}
[0.002051] (-) JobUnselected: {'identifier': 'isaac_ros_nova_interfaces'}
[0.002057] (-) JobUnselected: {'identifier': 'isaac_ros_nvblox_benchmark'}
[0.002064] (-) JobUnselected: {'identifier': 'isaac_ros_occupancy_grid_localizer_benchmark'}
[0.002071] (-) JobUnselected: {'identifier': 'isaac_ros_perceptor_nova_benchmark'}
[0.002077] (-) JobUnselected: {'identifier': 'isaac_ros_pointcloud_interfaces'}
[0.002084] (-) JobUnselected: {'identifier': 'isaac_ros_pynitros'}
[0.002090] (-) JobUnselected: {'identifier': 'isaac_ros_pynitros_benchmark'}
[0.002097] (-) JobUnselected: {'identifier': 'isaac_ros_r2b_galileo'}
[0.002103] (-) JobUnselected: {'identifier': 'isaac_ros_rosbag_utils'}
[0.002110] (-) JobUnselected: {'identifier': 'isaac_ros_rtdetr_benchmark'}
[0.002117] (-) JobUnselected: {'identifier': 'isaac_ros_segformer_benchmark'}
[0.002123] (-) JobUnselected: {'identifier': 'isaac_ros_segment_anything_benchmark'}
[0.002129] (-) JobUnselected: {'identifier': 'isaac_ros_stereo_image_proc'}
[0.002136] (-) JobUnselected: {'identifier': 'isaac_ros_stereo_image_proc_benchmark'}
[0.002142] (-) JobUnselected: {'identifier': 'isaac_ros_tensor_list_interfaces'}
[0.002149] (-) JobUnselected: {'identifier': 'isaac_ros_tensor_proc'}
[0.002155] (-) JobUnselected: {'identifier': 'isaac_ros_tensor_rt'}
[0.002162] (-) JobUnselected: {'identifier': 'isaac_ros_tensor_rt_benchmark'}
[0.002173] (-) JobUnselected: {'identifier': 'isaac_ros_test'}
[0.002179] (-) JobUnselected: {'identifier': 'isaac_ros_test_cmake'}
[0.002186] (-) JobUnselected: {'identifier': 'isaac_ros_triton'}
[0.002192] (-) JobUnselected: {'identifier': 'isaac_ros_triton_benchmark'}
[0.002199] (-) JobUnselected: {'identifier': 'isaac_ros_unet_benchmark'}
[0.002206] (-) JobUnselected: {'identifier': 'isaac_ros_ur5_cumotion_benchmark'}
[0.002213] (-) JobUnselected: {'identifier': 'isaac_ros_ur5_ompl_benchmark'}
[0.002220] (-) JobUnselected: {'identifier': 'isaac_ros_visual_slam'}
[0.002226] (-) JobUnselected: {'identifier': 'isaac_ros_visual_slam_benchmark'}
[0.002233] (-) JobUnselected: {'identifier': 'isaac_ros_visual_slam_interfaces'}
[0.002240] (-) JobUnselected: {'identifier': 'ros2_benchmark'}
[0.002246] (-) JobUnselected: {'identifier': 'ros2_benchmark_interfaces'}
[0.002252] (-) JobUnselected: {'identifier': 'scene_description_system'}
[0.002258] (-) JobUnselected: {'identifier': 'shared_interfaces'}
[0.002265] (-) JobUnselected: {'identifier': 'traffic_crossing_assistant'}
[0.002272] (-) JobUnselected: {'identifier': 'ur5_gripper_moveit_config'}
[0.002278] (-) JobUnselected: {'identifier': 'ur5_robotiq_85_description'}
[0.002287] (yolov8_bdd100k_detection) JobQueued: {'identifier': 'yolov8_bdd100k_detection', 'dependencies': OrderedDict([('isaac_ros_common', '/home/sophie/visionaid/isaac_ros_ws/install/isaac_ros_common'), ('isaac_common', '/home/sophie/visionaid/isaac_ros_ws/install/isaac_common'), ('isaac_ros_gxf', '/home/sophie/visionaid/isaac_ros_ws/install/isaac_ros_gxf'), ('isaac_ros_launch_utils', '/home/sophie/visionaid/isaac_ros_ws/install/isaac_ros_launch_utils'), ('isaac_ros_tensor_list_interfaces', '/home/sophie/visionaid/isaac_ros_ws/install/isaac_ros_tensor_list_interfaces'), ('isaac_ros_test', '/home/sophie/visionaid/isaac_ros_ws/install/isaac_ros_test'), ('isaac_ros_visual_slam_interfaces', '/home/sophie/visionaid/isaac_ros_ws/install/isaac_ros_visual_slam_interfaces'), ('gxf_isaac_gems', '/home/sophie/visionaid/isaac_ros_ws/install/gxf_isaac_gems'), ('gxf_isaac_image_flip', '/home/sophie/visionaid/isaac_ros_ws/install/gxf_isaac_image_flip'), ('gxf_isaac_message_compositor', '/home/sophie/visionaid/isaac_ros_ws/install/gxf_isaac_message_compositor'), ('gxf_isaac_optimizer', '/home/sophie/visionaid/isaac_ros_ws/install/gxf_isaac_optimizer'), ('gxf_isaac_sight', '/home/sophie/visionaid/isaac_ros_ws/install/gxf_isaac_sight'), ('gxf_isaac_atlas', '/home/sophie/visionaid/isaac_ros_ws/install/gxf_isaac_atlas'), ('gxf_isaac_gxf_helpers', '/home/sophie/visionaid/isaac_ros_ws/install/gxf_isaac_gxf_helpers'), ('gxf_isaac_messages', '/home/sophie/visionaid/isaac_ros_ws/install/gxf_isaac_messages'), ('gxf_isaac_tensorops', '/home/sophie/visionaid/isaac_ros_ws/install/gxf_isaac_tensorops'), ('isaac_ros_nitros', '/home/sophie/visionaid/isaac_ros_ws/install/isaac_ros_nitros'), ('gxf_isaac_tensor_rt', '/home/sophie/visionaid/isaac_ros_ws/install/gxf_isaac_tensor_rt'), ('isaac_ros_nitros_camera_info_type', '/home/sophie/visionaid/isaac_ros_ws/install/isaac_ros_nitros_camera_info_type'), ('isaac_ros_nitros_image_type', '/home/sophie/visionaid/isaac_ros_ws/install/isaac_ros_nitros_image_type'), ('isaac_ros_nitros_tensor_list_type', '/home/sophie/visionaid/isaac_ros_ws/install/isaac_ros_nitros_tensor_list_type'), ('isaac_ros_managed_nitros', '/home/sophie/visionaid/isaac_ros_ws/install/isaac_ros_managed_nitros'), ('isaac_ros_tensor_rt', '/home/sophie/visionaid/isaac_ros_ws/install/isaac_ros_tensor_rt'), ('isaac_ros_image_proc', '/home/sophie/visionaid/isaac_ros_ws/install/isaac_ros_image_proc'), ('isaac_ros_visual_slam', '/home/sophie/visionaid/isaac_ros_ws/install/isaac_ros_visual_slam')])}
[0.002316] (yolov8_bdd100k_detection) JobStarted: {'identifier': 'yolov8_bdd100k_detection'}
[0.099589] (-) TimerEvent: {}
[0.199804] (-) TimerEvent: {}
[0.300098] (-) TimerEvent: {}
[0.400388] (-) TimerEvent: {}
[0.500722] (-) TimerEvent: {}
